category,filename,expected,brightness_value,brightness_status,blur_value,blur_status
rppg_window,frame_0073.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0074.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0075.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0076.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0077.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0078.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0079.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0080.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0081.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0082.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0083.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0084.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0085.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0086.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0087.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0088.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0089.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0090.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0091.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0092.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0093.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0094.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0095.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0096.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0097.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0098.jpg,n/a,152.23,pass,94.68,fail
rppg_window,frame_0099.jpg,n/a,152.23,pass,94.7,fail
rppg_window,frame_0100.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0101.jpg,n/a,152.23,pass,94.67,fail
rppg_window,frame_0102.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0103.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0104.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0105.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0106.jpg,n/a,152.24,pass,94.69,fail
rppg_window,frame_0107.jpg,n/a,152.23,pass,94.67,fail
